/Users/radenyudi/.gemini/antigravity/scratch/quant_trade_ai/ai_environment.py:32: FutureWarning: DataFrame.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  self.df.fillna(method='bfill', inplace=True)
🚀 Starting AI Training (Reinforcement Learning)...
Episode: 72/200 | Reward: 25.78 | Net Worth: 100.24 | Epsilon: 0.05
Episode: 73/200 | Reward: -163.44 | Net Worth: 99.57 | Epsilon: 0.05
Episode: 74/200 | Reward: 71.13 | Net Worth: 100.42 | Epsilon: 0.05
Episode: 75/200 | Reward: -25.22 | Net Worth: 99.81 | Epsilon: 0.05
Episode: 76/200 | Reward: -66.06 | Net Worth: 99.88 | Epsilon: 0.05
Episode: 77/200 | Reward: 35.02 | Net Worth: 99.80 | Epsilon: 0.05
Episode: 78/200 | Reward: -77.50 | Net Worth: 99.35 | Epsilon: 0.05
Episode: 79/200 | Reward: -155.84 | Net Worth: 99.11 | Epsilon: 0.05
Episode: 80/200 | Reward: 32.11 | Net Worth: 100.11 | Epsilon: 0.05
Episode: 81/200 | Reward: -19.98 | Net Worth: 99.71 | Epsilon: 0.05
Episode: 82/200 | Reward: -26.60 | Net Worth: 99.44 | Epsilon: 0.05
Episode: 83/200 | Reward: -55.27 | Net Worth: 99.51 | Epsilon: 0.05
Episode: 84/200 | Reward: 59.42 | Net Worth: 99.88 | Epsilon: 0.05
Episode: 85/200 | Reward: -114.94 | Net Worth: 99.75 | Epsilon: 0.05
Episode: 86/200 | Reward: 11.03 | Net Worth: 100.15 | Epsilon: 0.05
Episode: 87/200 | Reward: -137.98 | Net Worth: 99.58 | Epsilon: 0.05
Episode: 88/200 | Reward: -99.11 | Net Worth: 99.66 | Epsilon: 0.05
Episode: 89/200 | Reward: 23.27 | Net Worth: 100.21 | Epsilon: 0.05
Episode: 90/200 | Reward: -83.42 | Net Worth: 99.53 | Epsilon: 0.05
Episode: 91/200 | Reward: 41.13 | Net Worth: 100.06 | Epsilon: 0.05
Episode: 92/200 | Reward: -13.55 | Net Worth: 99.79 | Epsilon: 0.05
Episode: 93/200 | Reward: -16.80 | Net Worth: 99.70 | Epsilon: 0.05
Episode: 94/200 | Reward: -40.33 | Net Worth: 99.88 | Epsilon: 0.05
Episode: 95/200 | Reward: -18.30 | Net Worth: 99.80 | Epsilon: 0.05
Episode: 96/200 | Reward: 27.34 | Net Worth: 100.20 | Epsilon: 0.05
Episode: 97/200 | Reward: -61.95 | Net Worth: 99.51 | Epsilon: 0.05
Episode: 98/200 | Reward: -34.12 | Net Worth: 99.78 | Epsilon: 0.05
Episode: 99/200 | Reward: -84.14 | Net Worth: 99.49 | Epsilon: 0.05
Episode: 100/200 | Reward: -29.17 | Net Worth: 99.61 | Epsilon: 0.05
Episode: 101/200 | Reward: 15.30 | Net Worth: 99.99 | Epsilon: 0.05
Episode: 102/200 | Reward: -14.67 | Net Worth: 100.00 | Epsilon: 0.05
