time,open,high,low,close,volume,close_time,quote_asset_volume
1766591100000,122.55,122.93,122.46,122.73,15887.941,1766592000000,1949499.39
1766591100000,122.55,122.93,122.46,122.73,15887.941,1766592000000,1949499.39
1766591100000,122.55,122.93,122.46,122.73,15887.941,1766592000000,1949499.39
1766591100000,122.55,122.93,122.46,122.73,15887.941,1766592000000,1949499.39
1766591100000,122.55,122.93,122.46,122.73,15887.941,1766592000000,1949499.39
1766592000000,122.73,123.16,122.54,123.09,15616.791,1766592900000,1917839.91
1766592000000,122.73,123.16,122.54,123.09,15616.791,1766592900000,1917839.91
1766592000000,122.73,123.16,122.54,123.09,15616.791,1766592900000,1917839.91
1766592000000,122.73,123.16,122.54,123.09,15616.791,1766592900000,1917839.91
1766592000000,122.73,123.16,122.54,123.09,15616.791,1766592900000,1917839.91
1766592900000,123.09,123.15,122.39,122.52,10074.353,1766593800000,1237362.63
1766592900000,123.09,123.15,122.39,122.52,10074.353,1766593800000,1237362.63
1766592900000,123.09,123.15,122.39,122.52,10074.353,1766593800000,1237362.63
1766592900000,123.09,123.15,122.39,122.52,10074.353,1766593800000,1237362.63
1766592900000,123.09,123.15,122.39,122.52,10074.353,1766593800000,1237362.63
1766593800000,122.52,123.45,122.5,122.94,16607.493,1766594700000,2042984.45
1766593800000,122.52,123.45,122.5,122.94,16607.493,1766594700000,2042984.45
1766593800000,122.52,123.45,122.5,122.94,16607.493,1766594700000,2042984.45
1766593800000,122.52,123.45,122.5,122.94,16607.493,1766594700000,2042984.45
1766593800000,122.52,123.45,122.5,122.94,16607.493,1766594700000,2042984.45
1766594700000,122.94,122.99,122.55,122.7,5366.498,1766595600000,658742.69
1766594700000,122.94,122.99,122.55,122.7,5366.498,1766595600000,658742.69
1766594700000,122.94,122.99,122.55,122.7,5366.498,1766595600000,658742.69
1766594700000,122.94,122.99,122.55,122.7,5366.498,1766595600000,658742.69
1766594700000,122.94,122.99,122.55,122.7,5366.498,1766595600000,658742.69
1766595600000,122.7,122.88,122.52,122.73,7305.455,1766596500000,896481.75
1766595600000,122.7,122.88,122.52,122.73,7305.455,1766596500000,896481.75
1766595600000,122.7,122.88,122.52,122.73,7305.455,1766596500000,896481.75
1766595600000,122.7,122.88,122.52,122.73,7305.455,1766596500000,896481.75
1766595600000,122.7,122.88,122.52,122.73,7305.455,1766596500000,896481.75
1766596500000,122.73,122.89,122.63,122.78,3120.767,1766597400000,383105.03
1766596500000,122.73,122.89,122.63,122.78,3120.767,1766597400000,383105.03
1766596500000,122.73,122.89,122.63,122.78,3120.767,1766597400000,383105.03
1766596500000,122.73,122.89,122.63,122.78,3120.767,1766597400000,383105.03
1766596500000,122.73,122.89,122.63,122.78,3120.767,1766597400000,383105.03
1766597400000,122.78,122.99,122.27,122.42,3743.782,1766598300000,459008.61
1766597400000,122.78,122.99,122.27,122.42,3743.782,1766598300000,459008.61
1766597400000,122.78,122.99,122.27,122.42,3743.782,1766598300000,459008.61
1766597400000,122.78,122.99,122.27,122.42,3743.782,1766598300000,459008.61
1766597400000,122.78,122.99,122.27,122.42,3743.782,1766598300000,459008.61
1766598300000,122.42,122.68,121.97,122,7807.772,1766599200000,955202.51
1766598300000,122.42,122.68,121.97,122,7807.772,1766599200000,955202.51
1766598300000,122.42,122.68,121.97,122,7807.772,1766599200000,955202.51
1766598300000,122.42,122.68,121.97,122,7807.772,1766599200000,955202.51
1766598300000,122.42,122.68,121.97,122,7807.772,1766599200000,955202.51
1766599200000,122,122.3,121.79,121.99,5424.021,1766600100000,662113.17
1766599200000,122,122.3,121.79,121.99,5424.021,1766600100000,662113.17
1766599200000,122,122.3,121.79,121.99,5424.021,1766600100000,662113.17
1766599200000,122,122.3,121.79,121.99,5424.021,1766600100000,662113.17
1766599200000,122,122.3,121.79,121.99,5424.021,1766600100000,662113.17
1766600100000,121.99,122.48,121.97,122.34,3908.608,1766601000000,477737.11
1766600100000,121.99,122.48,121.97,122.34,3908.608,1766601000000,477737.11
1766600100000,121.99,122.48,121.97,122.34,3908.608,1766601000000,477737.11
1766600100000,121.99,122.48,121.97,122.34,3908.608,1766601000000,477737.11
1766600100000,121.99,122.48,121.97,122.34,3908.608,1766601000000,477737.11
1766601000000,122.34,122.48,122.09,122.47,4161.095,1766601900000,508800.96
1766601000000,122.34,122.48,122.09,122.47,4161.095,1766601900000,508800.96
1766601000000,122.34,122.48,122.09,122.47,4161.095,1766601900000,508800.96
1766601000000,122.34,122.48,122.09,122.47,4161.095,1766601900000,508800.96
1766601000000,122.34,122.48,122.09,122.47,4161.095,1766601900000,508800.96
1766601900000,122.47,122.66,122.43,122.47,3461.507,1766602800000,424140.32
1766601900000,122.47,122.66,122.43,122.47,3461.507,1766602800000,424140.32
1766601900000,122.47,122.66,122.43,122.47,3461.507,1766602800000,424140.32
1766601900000,122.47,122.66,122.43,122.47,3461.507,1766602800000,424140.32
1766601900000,122.47,122.66,122.43,122.47,3461.507,1766602800000,424140.32
1766602800000,122.47,122.49,122.21,122.28,1920.212,1766603700000,234925
1766602800000,122.47,122.49,122.21,122.28,1920.212,1766603700000,234925
1766602800000,122.47,122.49,122.21,122.28,1920.212,1766603700000,234925
1766602800000,122.47,122.49,122.21,122.28,1920.212,1766603700000,234925
1766602800000,122.47,122.49,122.21,122.28,1920.212,1766603700000,234925
1766603700000,122.28,122.38,122.02,122.37,6594.625,1766604600000,805957.91
1766603700000,122.28,122.38,122.02,122.37,6594.625,1766604600000,805957.91
1766603700000,122.28,122.38,122.02,122.37,6594.625,1766604600000,805957.91
1766603700000,122.28,122.38,122.02,122.37,6594.625,1766604600000,805957.91
1766603700000,122.28,122.38,122.02,122.37,6594.625,1766604600000,805957.91
1766604600000,122.37,122.69,122.31,122.67,2754.382,1766605500000,337508.18
1766604600000,122.37,122.69,122.31,122.67,2754.382,1766605500000,337508.18
1766604600000,122.37,122.69,122.31,122.67,2754.382,1766605500000,337508.18
1766604600000,122.37,122.69,122.31,122.67,2754.382,1766605500000,337508.18
1766604600000,122.37,122.69,122.31,122.67,2754.382,1766605500000,337508.18
1766605500000,122.67,122.87,122.66,122.85,4915.857,1766606400000,603382.58
1766605500000,122.67,122.87,122.66,122.85,4915.857,1766606400000,603382.58
1766605500000,122.67,122.87,122.66,122.85,4915.857,1766606400000,603382.58
1766605500000,122.67,122.87,122.66,122.85,4915.857,1766606400000,603382.58
1766605500000,122.67,122.87,122.66,122.85,4915.857,1766606400000,603382.58
1766606400000,122.85,123.05,122.76,122.95,8226.603,1766607300000,1011262.54
1766606400000,122.85,123.05,122.76,122.95,8226.603,1766607300000,1011262.54
1766606400000,122.85,123.05,122.76,122.95,8226.603,1766607300000,1011262.54
1766606400000,122.85,123.05,122.76,122.95,8226.603,1766607300000,1011262.54
1766606400000,122.85,123.05,122.76,122.95,8226.603,1766607300000,1011262.54
1766607300000,122.95,123.08,122.9,123.04,4605.778,1766608200000,566518.94
1766607300000,122.95,123.08,122.9,123.04,4605.778,1766608200000,566518.94
1766607300000,122.95,123.08,122.9,123.04,4605.778,1766608200000,566518.94
1766607300000,122.95,123.08,122.9,123.04,4605.778,1766608200000,566518.94
1766607300000,122.95,123.08,122.9,123.04,4605.778,1766608200000,566518.94
1766608200000,123.04,123.11,122.83,122.92,4408.509,1766609100000,542035.68
1766608200000,123.04,123.11,122.83,122.92,4408.509,1766609100000,542035.68
1766608200000,123.04,123.11,122.83,122.92,4408.509,1766609100000,542035.68
1766608200000,123.04,123.11,122.83,122.92,4408.509,1766609100000,542035.68
1766608200000,123.04,123.11,122.83,122.92,4408.509,1766609100000,542035.68
1766609100000,122.92,122.92,122.59,122.65,6713.447,1766610000000,823894.85
1766609100000,122.92,122.92,122.59,122.65,6713.447,1766610000000,823894.85
1766609100000,122.92,122.92,122.59,122.65,6713.447,1766610000000,823894.85
1766609100000,122.92,122.92,122.59,122.65,6713.447,1766610000000,823894.85
1766609100000,122.92,122.92,122.59,122.65,6713.447,1766610000000,823894.85
1766610000000,122.65,122.92,122.64,122.77,4366.605,1766610900000,536195.94
1766610000000,122.65,122.92,122.64,122.77,4366.605,1766610900000,536195.94
1766610000000,122.65,122.92,122.64,122.77,4366.605,1766610900000,536195.94
1766610000000,122.65,122.92,122.64,122.77,4366.605,1766610900000,536195.94
1766610000000,122.65,122.92,122.64,122.77,4366.605,1766610900000,536195.94
1766610900000,122.77,122.87,122.62,122.83,3764.036,1766611800000,461945.85
1766610900000,122.77,122.87,122.62,122.83,3764.036,1766611800000,461945.85
1766610900000,122.77,122.87,122.62,122.83,3764.036,1766611800000,461945.85
1766610900000,122.77,122.87,122.62,122.83,3764.036,1766611800000,461945.85
1766610900000,122.77,122.87,122.62,122.83,3764.036,1766611800000,461945.85
1766611800000,122.83,123.05,122.8,122.97,5591.99,1766612700000,687544.6
1766611800000,122.83,123.05,122.8,122.97,5591.99,1766612700000,687544.6
1766611800000,122.83,123.05,122.8,122.97,5591.99,1766612700000,687544.6
1766611800000,122.83,123.05,122.8,122.97,5591.99,1766612700000,687544.6
1766611800000,122.83,123.05,122.8,122.97,5591.99,1766612700000,687544.6
1766612700000,122.97,123,122.87,122.98,3167.442,1766613600000,389425.13
1766612700000,122.97,123,122.87,122.98,3167.442,1766613600000,389425.13
1766612700000,122.97,123,122.87,122.98,3167.442,1766613600000,389425.13
1766612700000,122.97,123,122.87,122.98,3167.442,1766613600000,389425.13
1766612700000,122.97,123,122.87,122.98,3167.442,1766613600000,389425.13
1766613600000,122.98,123.28,122.95,123.09,6685.801,1766614500000,822791.75
1766613600000,122.98,123.28,122.95,123.09,6685.801,1766614500000,822791.75
1766613600000,122.98,123.28,122.95,123.09,6685.801,1766614500000,822791.75
1766613600000,122.98,123.28,122.95,123.09,6685.801,1766614500000,822791.75
1766613600000,122.98,123.28,122.95,123.09,6685.801,1766614500000,822791.75
1766614500000,123.09,123.23,122.9,122.98,1692.134,1766615400000,208195.94
1766614500000,123.09,123.23,122.9,122.98,1692.134,1766615400000,208195.94
1766614500000,123.09,123.23,122.9,122.98,1692.134,1766615400000,208195.94
1766614500000,123.09,123.23,122.9,122.98,1692.134,1766615400000,208195.94
1766614500000,123.09,123.23,122.9,122.98,1692.134,1766615400000,208195.94
1766615400000,122.98,123.3,122.91,123.23,5628.628,1766616300000,693288.65
1766615400000,122.98,123.3,122.91,123.23,5628.628,1766616300000,693288.65
1766615400000,122.98,123.3,122.91,123.23,5628.628,1766616300000,693288.65
1766615400000,122.98,123.3,122.91,123.23,5628.628,1766616300000,693288.65
1766615400000,122.98,123.3,122.91,123.23,5628.628,1766616300000,693288.65
1766616300000,123.23,123.38,123.08,123.28,2680.645,1766617200000,330308.32
1766616300000,123.23,123.38,123.08,123.28,2680.645,1766617200000,330308.32
1766616300000,123.23,123.38,123.08,123.28,2680.645,1766617200000,330308.32
1766616300000,123.23,123.38,123.08,123.28,2680.645,1766617200000,330308.32
1766616300000,123.23,123.38,123.08,123.28,2680.645,1766617200000,330308.32
1766617200000,123.28,123.33,122.91,123.09,3002.882,1766618100000,369509.01
