🚀 Starting AI Training (Reinforcement Learning)...
Episode: 74/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 75/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 76/100 | Reward: 47.68 | Net Worth: 100.25 | Epsilon: 0.01
Episode: 77/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 78/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 79/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 80/100 | Reward: 72.73 | Net Worth: 101.96 | Epsilon: 0.01
Episode: 81/100 | Reward: -145.56 | Net Worth: 99.81 | Epsilon: 0.01
Episode: 82/100 | Reward: -50.18 | Net Worth: 99.57 | Epsilon: 0.01
Episode: 83/100 | Reward: -144.04 | Net Worth: 100.81 | Epsilon: 0.01
Episode: 84/100 | Reward: -137.86 | Net Worth: 99.49 | Epsilon: 0.01
Episode: 85/100 | Reward: 149.75 | Net Worth: 102.21 | Epsilon: 0.01
Episode: 86/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 87/100 | Reward: 32.32 | Net Worth: 101.69 | Epsilon: 0.01
Episode: 88/100 | Reward: -63.73 | Net Worth: 99.35 | Epsilon: 0.01
Episode: 89/100 | Reward: -126.12 | Net Worth: 99.52 | Epsilon: 0.01
Episode: 90/100 | Reward: -184.23 | Net Worth: 99.46 | Epsilon: 0.01
Episode: 91/100 | Reward: -98.47 | Net Worth: 101.27 | Epsilon: 0.01
Episode: 92/100 | Reward: -24.21 | Net Worth: 101.65 | Epsilon: 0.01
Episode: 93/100 | Reward: -98.47 | Net Worth: 101.27 | Epsilon: 0.01
Episode: 94/100 | RewEpisode: 94/100 | Reward: -93.80 | Net Worth: 101.29 | Epsilon: 0.01
Episode: 95/100 | Reward: -16.29 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 96/100 | Reward: -167.67 | Net Worth: 101.07 | Epsilon: 0.01
Episode: 97/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 98/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
Episode: 99/100 | Reward: -43.99 | Net Worth: 101.44 | Epsilon: 0.01
Episode: 100/100 | Reward: 0.00 | Net Worth: 100.00 | Epsilon: 0.01
💾 AI Model Saved: trading_agent.pth
💾 AI Model Saved: trading_agent.pth
